tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2741,2019-01-01T13:35:55Z,2019-01-01T14:21:36Z,3435,Grand St & Elizabeth St,40.718822,-73.99596,3401,2 Ave & 9 St,40.6724811,-73.99331394,35751,Subscriber,1995,1
889,2019-01-01T13:35:56Z,2019-01-01T13:50:45Z,450,W 49 St & 8 Ave,40.76227205,-73.98788205,3137,5 Ave & E 73 St,40.77282817,-73.96685276,32731,Customer,1993,2
1206,2019-01-01T13:36:00Z,2019-01-01T13:56:07Z,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,27187,Customer,1988,1
4358,2019-01-01T13:35:58Z,2019-01-01T14:48:37Z,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3282,5 Ave & E 88 St,40.78307,-73.95939,19587,Customer,1969,0
797,2019-01-01T13:36:01Z,2019-01-01T13:49:19Z,383,Greenwich Ave & Charles St,40.735238,-74.000271,368,Carmine St & 6 Ave,40.73038599,-74.00214988,29761,Subscriber,1976,1
876,2019-01-01T13:36:07Z,2019-01-01T13:50:44Z,450,W 49 St & 8 Ave,40.76227205,-73.98788205,3137,5 Ave & E 73 St,40.77282817,-73.96685276,35197,Customer,1992,1
1544,2019-01-01T13:36:03Z,2019-01-01T14:01:47Z,3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611,3346,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629,31028,Subscriber,1979,1
1373,2019-01-01T13:36:03Z,2019-01-01T13:58:57Z,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,473,Rivington St & Chrystie St,40.72110063,-73.9919254,35193,Subscriber,1987,2
750,2019-01-01T13:36:08Z,2019-01-01T13:48:39Z,3377,Carroll St & Bond St,40.6786115,-73.99037292,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,16863,Subscriber,1957,2
292,2019-01-01T13:36:10Z,2019-01-01T13:41:03Z,2008,Little West St & 1 Pl,40.70569254,-74.01677685,3002,South End Ave & Liberty St,40.711512,-74.015756,34981,Subscriber,1963,1
289,2019-01-01T13:36:10Z,2019-01-01T13:41:00Z,2008,Little West St & 1 Pl,40.70569254,-74.01677685,3002,South End Ave & Liberty St,40.711512,-74.015756,15948,Subscriber,1970,2
763,2019-01-01T13:36:11Z,2019-01-01T13:48:55Z,331,Pike St & Monroe St,40.71173107,-73.99193043,426,West St & Chambers St,40.71754834,-74.01322069,28112,Subscriber,1991,1
641,2019-01-01T13:36:11Z,2019-01-01T13:46:52Z,3715,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,3454,Leonard St & Maujer St,40.7103685423523,-73.94705951213837,35681,Subscriber,1989,2
5304,2019-01-01T13:36:15Z,2019-01-01T15:04:40Z,362,Broadway & W 37 St,40.75172632,-73.98753523,529,W 42 St & 8 Ave,40.7575699,-73.99098507,35719,Customer,1978,2
541,2019-01-01T13:36:14Z,2019-01-01T13:45:15Z,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,128,MacDougal St & Prince St,40.72710258,-74.00297088,32965,Subscriber,1992,1
1681,2019-01-01T13:36:16Z,2019-01-01T14:04:18Z,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,20938,Customer,1995,1
359,2019-01-01T13:36:20Z,2019-01-01T13:42:19Z,3402,Court St & State St,40.6902375,-73.99203074,3321,Clinton St & Union St,40.6831164,-73.99785267,31097,Subscriber,1962,0
6080,2019-01-01T13:36:19Z,2019-01-01T15:17:39Z,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3143,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,25669,Customer,1995,1
1074,2019-01-01T13:36:21Z,2019-01-01T13:54:16Z,494,W 26 St & 8 Ave,40.74734825,-73.99723551,412,Forsyth St & Canal St,40.7158155,-73.99422366,15782,Subscriber,1986,1
164,2019-01-01T13:36:20Z,2019-01-01T13:39:04Z,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,27278,Subscriber,1988,1
1343,2019-01-01T13:36:23Z,2019-01-01T13:58:46Z,528,2 Ave & E 31 St,40.74290902,-73.97706058,3158,W 63 St & Broadway,40.77163851,-73.98261428,34765,Subscriber,1966,1
842,2019-01-01T13:36:20Z,2019-01-01T13:50:23Z,334,W 20 St & 7 Ave,40.74238787,-73.99726235,128,MacDougal St & Prince St,40.72710258,-74.00297088,16425,Customer,1969,0
1445,2019-01-01T13:36:23Z,2019-01-01T14:00:28Z,3292,5 Ave & E 93 St,40.7857851,-73.957481,3320,Central Park West & W 100 St,40.79406660818552,-73.96286845207214,31578,Customer,1995,2
468,2019-01-01T13:36:30Z,2019-01-01T13:44:18Z,417,Barclay St & Church St,40.71291224,-74.01020234,387,Centre St & Chambers St,40.71273266,-74.0046073,18519,Customer,1969,0
1426,2019-01-01T13:36:28Z,2019-01-01T14:00:14Z,524,W 43 St & 6 Ave,40.75527307,-73.98316936,3130,21 St & Queens Plaza North,40.75325964,-73.94335788,34928,Customer,1986,1
1318,2019-01-01T13:36:33Z,2019-01-01T13:58:32Z,249,Harrison St & Hudson St,40.71870987,-74.0090009,529,W 42 St & 8 Ave,40.7575699,-73.99098507,28707,Subscriber,1959,1
831,2019-01-01T13:36:28Z,2019-01-01T13:50:20Z,334,W 20 St & 7 Ave,40.74238787,-73.99726235,128,MacDougal St & Prince St,40.72710258,-74.00297088,28903,Customer,1969,0
256,2019-01-01T13:36:39Z,2019-01-01T13:40:55Z,315,South St & Gouverneur Ln,40.70355377,-74.00670227,259,South St & Whitehall St,40.70122128,-74.01234218,17517,Subscriber,1994,2
597,2019-01-01T13:36:32Z,2019-01-01T13:46:29Z,432,E 7 St & Avenue A,40.72621788,-73.98379855,3684,W 12 St & W 4 St,40.73756121181137,-74.00398269295692,34092,Subscriber,1959,1
788,2019-01-01T13:36:34Z,2019-01-01T13:49:42Z,3397,Court St & Nelson St,40.6763947,-73.99869893,3397,Court St & Nelson St,40.6763947,-73.99869893,25685,Subscriber,1979,1
1299,2019-01-01T13:36:34Z,2019-01-01T13:58:13Z,3367,5 Ave & E 103 St,40.7922553,-73.95249933,3163,Central Park West & W 68 St,40.7734066,-73.97782542,35661,Subscriber,1999,1
